actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
Adam Scott,Conchata Ferrell,Allison Tolman,Michael Dougherty,Comedy|Fantasy|Horror,krampus,Adam ScottConchata FerrellAllison TolmanMichael DoughertyComedy|Fantasy|Horror
Jordana Brewster,Salma Hayek,Clea DuVall,Robert Rodriguez,Horror|Mystery|Sci-Fi,the faculty,Jordana BrewsterSalma HayekClea DuVallRobert RodriguezHorror|Mystery|Sci-Fi
Rae'Ven Kelly,Virginia Capers,Dororthy Thorton,Brian Gibson,Biography|Drama|Music,what's love got to do with it,Rae'Ven KellyVirginia CapersDororthy ThortonBrian GibsonBiography|Drama|Music
Robert De Niro,Sylvester Stallone,Janeane Garofalo,James Mangold,Crime|Drama|Thriller,cop land,Robert De NiroSylvester StalloneJaneane GarofaloJames MangoldCrime|Drama|Thriller
Chris Evans,JoAnna Garcia Swisher,Mia Kirshner,Joel Gallen,Comedy,not another teen movie,Chris EvansJoAnna Garcia SwisherMia KirshnerJoel GallenComedy
Jake Gyllenhaal,Anna Kendrick,America Ferrera,David Ayer,Crime|Drama|Thriller,end of watch,Jake GyllenhaalAnna KendrickAmerica FerreraDavid AyerCrime|Drama|Thriller
Emma Stone,Bradley Cooper,Bill Murray,Cameron Crowe,Comedy|Drama|Romance,aloha,Emma StoneBradley CooperBill MurrayCameron CroweComedy|Drama|Romance
Paul Walker,Leslie Bibb,William Petersen,Rob Cohen,Action|Crime|Drama|Thriller,the skulls,Paul WalkerLeslie BibbWilliam PetersenRob CohenAction|Crime|Drama|Thriller
Eddie Redmayne,Emily Watson,Simon McBurney,James Marsh,Biography|Drama|Romance,the theory of everything,Eddie RedmayneEmily WatsonSimon McBurneyJames MarshBiography|Drama|Romance
Greg Grunberg,Regina Hall,Blair Underwood,John Whitesell,Comedy|Crime,malibu's most wanted,Greg GrunbergRegina HallBlair UnderwoodJohn WhitesellComedy|Crime
Natalie Portman,James Frain,Stockard Channing,Matt Williams,Comedy|Drama|Romance,where the heart is,Natalie PortmanJames FrainStockard ChanningMatt WilliamsComedy|Drama|Romance
Claude Rains,José Ferrer,Jack Hawkins,David Lean,Adventure|Biography|Drama|History|War,lawrence of arabia,Claude RainsJosé FerrerJack HawkinsDavid LeanAdventure|Biography|Drama|History|War
Scout Taylor-Compton,Tyler Mane,Margot Kidder,Rob Zombie,Horror,halloween ii,Scout Taylor-ComptonTyler ManeMargot KidderRob ZombieHorror
Michiel Huisman,Kevin Rankin,Gaby Hoffmann,Jean-Marc Vallée,Adventure|Biography|Drama,wild,Michiel HuismanKevin RankinGaby HoffmannJean-Marc ValléeAdventure|Biography|Drama
Tony Goldwyn,Monica Potter,Martha MacIsaac,Dennis Iliadis,Crime|Horror|Thriller,the last house on the left,Tony GoldwynMonica PotterMartha MacIsaacDennis IliadisCrime|Horror|Thriller
Jack Davenport,Debra Messing,Holland Taylor,Clare Kilner,Comedy|Romance,the wedding date,Jack DavenportDebra MessingHolland TaylorClare KilnerComedy|Romance
Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich,Rick Rosenthal,Comedy|Horror|Thriller,halloween: resurrection,Jamie Lee CurtisThomas Ian NicholasBianca KajlichRick RosenthalComedy|Horror|Thriller
Liam Neeson,Jason Flemyng,Alexa Davalos,Louis Leterrier,Action|Adventure|Fantasy,clash of the titans,Liam NeesonJason FlemyngAlexa DavalosLouis LeterrierAction|Adventure|Fantasy
Robin Wright,Carol Kane,André the Giant,Rob Reiner,Adventure|Family|Fantasy|Romance,the princess bride,Robin WrightCarol KaneAndré the GiantRob ReinerAdventure|Family|Fantasy|Romance
Denzel Washington,Jurnee Smollett-Bell,John Heard,Denzel Washington,Biography|Drama,the great debaters,Denzel WashingtonJurnee Smollett-BellJohn HeardDenzel WashingtonBiography|Drama
Ryan Gosling,Albert Brooks,Russ Tamblyn,Nicolas Winding Refn,Crime|Drama,drive,Ryan GoslingAlbert BrooksRuss TamblynNicolas Winding RefnCrime|Drama
Adam Garcia,Carol Kane,Glenne Headly,Sara Sugarman,Comedy|Family|Music|Romance,confessions of a teenage drama queen,Adam GarciaCarol KaneGlenne HeadlySara SugarmanComedy|Family|Music|Romance
Liam Aiken,Tim Daly,Kali Rocha,Nicholas Hytner,Comedy|Drama|Romance,the object of my affection,Liam AikenTim DalyKali RochaNicholas HytnerComedy|Drama|Romance
Jeremy Renner,Harold Perrineau,Catherine McCormack,Juan Carlos Fresnadillo,Drama|Horror|Sci-Fi,28 weeks later,Jeremy RennerHarold PerrineauCatherine McCormackJuan Carlos FresnadilloDrama|Horror|Sci-Fi
Jessie T. Usher,Matthew Daddario,Ser'Darius Blain,Thomas Carter,Drama|Family|Sport,when the game stands tall,Jessie T. UsherMatthew DaddarioSer'Darius BlainThomas CarterDrama|Family|Sport
Cicely Tyson,Luke Benward,Eva Marie Saint,Wayne Wang,Comedy|Drama|Family,because of winn-dixie,Cicely TysonLuke BenwardEva Marie SaintWayne WangComedy|Drama|Family
Alfre Woodard,Sanaa Lathan,Omar Epps,Gina Prince-Bythewood,Drama|Romance|Sport,love & basketball,Alfre WoodardSanaa LathanOmar EppsGina Prince-BythewoodDrama|Romance|Sport
Minnie Driver,Michael Cudlitz,Mitchell Ryan,George Armitage,Action|Comedy|Crime|Romance|Thriller,grosse pointe blank,Minnie DriverMichael CudlitzMitchell RyanGeorge ArmitageAction|Comedy|Crime|Romance|Thriller
Bradley Cooper,Katy Mixon,Beth Grant,Phil Traill,Comedy|Romance,all about steve,Bradley CooperKaty MixonBeth GrantPhil TraillComedy|Romance
Kim Director,Erica Leerhsen,Kurt Loder,Joe Berlinger,Adventure|Fantasy|Horror|Mystery|Thriller,book of shadows: blair witch 2,Kim DirectorErica LeerhsenKurt LoderJoe BerlingerAdventure|Fantasy|Horror|Mystery|Thriller
Christine Taylor,Rachel True,Brenda Strong,Andrew Fleming,Drama|Fantasy|Horror|Thriller,the craft,Christine TaylorRachel TrueBrenda StrongAndrew FlemingDrama|Fantasy|Horror|Thriller
Scarlett Johansson,Mark Gatiss,Penelope Wilton,Woody Allen,Drama|Romance|Thriller,match point,Scarlett JohanssonMark GatissPenelope WiltonWoody AllenDrama|Romance|Thriller
Sierra McCormick,Hutch Dano,Jason Spevack,Elizabeth Allen Rosenbaum,Adventure|Comedy|Family|Fantasy,ramona and beezus,Sierra McCormickHutch DanoJason SpevackElizabeth Allen RosenbaumAdventure|Comedy|Family|Fantasy
Anthony Hopkins,Peter Vaughan,Ben Chaplin,James Ivory,Drama|Romance,the remains of the day,Anthony HopkinsPeter VaughanBen ChaplinJames IvoryDrama|Romance
Don Cheadle,Nicole Ari Parker,Nina Hartley,Paul Thomas Anderson,Drama,boogie nights,Don CheadleNicole Ari ParkerNina HartleyPaul Thomas AndersonDrama
Kieran Culkin,Rosanna Arquette,Joss Ackland,Robert Harmon,Action|Crime|Drama|Romance|Thriller,nowhere to run,Kieran CulkinRosanna ArquetteJoss AcklandRobert HarmonAction|Crime|Drama|Romance|Thriller
Alison Lohman,Danny Pino,Tim McGraw,Michael Mayer,Adventure|Drama|Family,flicka,Alison LohmanDanny PinoTim McGrawMichael MayerAdventure|Drama|Family
Jeff Kober,Daniella Alonso,Jacob Vargas,Martin Weisz,Horror,the hills have eyes ii,Jeff KoberDaniella AlonsoJacob VargasMartin WeiszHorror
Loretta Devine,Joey Lawrence,Jacinda Barrett,John Ottman,Horror|Mystery|Thriller,urban legends: final cut,Loretta DevineJoey LawrenceJacinda BarrettJohn OttmanHorror|Mystery|Thriller
William Hurt,Sissy Spacek,Jonathan Jackson,Jay Russell,Drama|Family|Fantasy|Romance,tuck everlasting,William HurtSissy SpacekJonathan JacksonJay RussellDrama|Family|Fantasy|Romance
Kelly Carlson,Firass Dirani,Drew Powell,John Bonito,Action|Drama|Thriller,the marine,Kelly CarlsonFirass DiraniDrew PowellJohn BonitoAction|Drama|Thriller
Nia Long,Will Forte,Keegan-Michael Key,Peter Atencio,Action|Comedy,keanu,Nia LongWill ForteKeegan-Michael KeyPeter AtencioAction|Comedy
Leighton Meester,Cinda McCain,Tim McGraw,Shana Feste,Drama|Music,country strong,Leighton MeesterCinda McCainTim McGrawShana FesteDrama|Music
Bruce Greenwood,Ethan Embry,Katharine Isabelle,David Nutter,Horror|Mystery|Sci-Fi|Thriller,disturbing behavior,Bruce GreenwoodEthan EmbryKatharine IsabelleDavid NutterHorror|Mystery|Sci-Fi|Thriller
Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza,Derek Cianfrance,Crime|Drama|Thriller,the place beyond the pines,Ryan GoslingBen MendelsohnAngelo Anthony PizzaDerek CianfranceCrime|Drama|Thriller
Luke Bracey,Akie Kotabe,Will Patton,Roger Donaldson,Action|Crime|Thriller,the november man,Luke BraceyAkie KotabeWill PattonRoger DonaldsonAction|Crime|Thriller
Jason Priestley,Patrick Bergin,Geneviève Bujold,Stephan Elliott,Drama|Mystery|Thriller,eye of the beholder,Jason PriestleyPatrick BerginGeneviève BujoldStephan ElliottDrama|Mystery|Thriller
Jeremy Renner,Christian Camargo,Brian Geraghty,Kathryn Bigelow,Drama|History|Thriller|War,the hurt locker,Jeremy RennerChristian CamargoBrian GeraghtyKathryn BigelowDrama|History|Thriller|War
Heather Locklear,George C. Scott,David Keith,Mark L. Lester,Action|Horror|Sci-Fi|Thriller,firestarter,Heather LocklearGeorge C. ScottDavid KeithMark L. LesterAction|Horror|Sci-Fi|Thriller
Brad Pitt,Sam Shepard,Ben Mendelsohn,Andrew Dominik,Crime|Thriller,killing them softly,Brad PittSam ShepardBen MendelsohnAndrew DominikCrime|Thriller
Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,Anton Corbijn,Crime|Drama|Thriller,a most wanted man,Philip Seymour HoffmanNina HossHomayoun ErshadiAnton CorbijnCrime|Drama|Thriller
Rip Torn,Harland Williams,Eddie Kaye Thomas,Tom Green,Comedy,freddy got fingered,Rip TornHarland WilliamsEddie Kaye ThomasTom GreenComedy
Yuri Lowenthal,Cam Clarke,Phil Vischer,Mike Nawrocki,Adventure|Animation|Comedy|Family,the pirates who don't do anything: a veggietales movie,Yuri LowenthalCam ClarkePhil VischerMike NawrockiAdventure|Animation|Comedy|Family
Bono,The Edge,Larry Mullen Jr.,Catherine Owens,Documentary|Music,u2 3d,BonoThe EdgeLarry Mullen Jr.Catherine OwensDocumentary|Music
Christopher Lambert,Adrian Paul,Adam Copeland,Douglas Aarniokoski,Action|Adventure|Fantasy|Sci-Fi,highlander: endgame,Christopher LambertAdrian PaulAdam CopelandDouglas AarniokoskiAction|Adventure|Fantasy|Sci-Fi
Cicely Tyson,Faizon Love,Bobb'e J. Thompson,Bryan Barber,Crime|Drama|Musical|Romance,idlewild,Cicely TysonFaizon LoveBobb'e J. ThompsonBryan BarberCrime|Drama|Musical|Romance
Anne Hathaway,Jim Sturgess,Rafe Spall,Lone Scherfig,Drama|Romance,one day,Anne HathawayJim SturgessRafe SpallLone ScherfigDrama|Romance
Daniel Stern,Jimmy Fallon,Alia Shawkat,Drew Barrymore,Drama|Sport,whip it,Daniel SternJimmy FallonAlia ShawkatDrew BarrymoreDrama|Sport
Vin Diesel,Tom Noonan,Kevin Gage,Brian Koppelman,Crime|Drama|Thriller,knockaround guys,Vin DieselTom NoonanKevin GageBrian KoppelmanCrime|Drama|Thriller
Louis Lombardi,Brian Van Holt,Leland Orser,James Foley,Crime|Thriller,confidence,Louis LombardiBrian Van HoltLeland OrserJames FoleyCrime|Thriller
Jeff Bridges,Bradley Whitford,Albert Brooks,Albert Brooks,Comedy,the muse,Jeff BridgesBradley WhitfordAlbert BrooksAlbert BrooksComedy
Kevin McNally,Keith Allen,Sandra Nelson,Irwin Winkler,Biography|Drama|Music|Musical,de-lovely,Kevin McNallyKeith AllenSandra NelsonIrwin WinklerBiography|Drama|Music|Musical
Woody Allen,Larry David,Mia Farrow,Woody Allen,Comedy|Drama|Romance,new york stories,Woody AllenLarry DavidMia FarrowWoody AllenComedy|Drama|Romance
Trevor Morgan,Kyla Pratt,Shirley Douglas,Steve Gomer,Adventure|Family,barney's great adventure,Trevor MorganKyla PrattShirley DouglasSteve GomerAdventure|Family
Rick Yune,RZA,Daniel Wu,RZA,Action,the man with the iron fists,Rick YuneRZADaniel WuRZAAction
Catherine O'Hara,Jake Busey,Shelley Duvall,Dean Parisot,Comedy|Drama|Romance,home fries,Catherine O'HaraJake BuseyShelley DuvallDean ParisotComedy|Drama|Romance
Bruce Greenwood,Chris Klein,Elaine Hendrix,Mark Piznarski,Drama|Romance,here on earth,Bruce GreenwoodChris KleinElaine HendrixMark PiznarskiDrama|Romance
Robert De Niro,Bob Hoskins,Jim Broadbent,Terry Gilliam,Drama|Sci-Fi,brazil,Robert De NiroBob HoskinsJim BroadbentTerry GilliamDrama|Sci-Fi
Oliver James,Rebecca De Mornay,Jason Ritter,Sean McNamara,Family|Music|Romance,raise your voice,Oliver JamesRebecca De MornayJason RitterSean McNamaraFamily|Music|Romance
David Ogden Stiers,Nicole de Boer,Chris Bruno,unknown,Drama|Fantasy|Mystery|Sci-Fi,the dead zone            ,David Ogden StiersNicole de BoerChris BrunounknownDrama|Fantasy|Mystery|Sci-Fi
Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi,Joel Coen,Comedy|Crime,the big lebowski,Philip Seymour HoffmanJeff BridgesSteve BuscemiJoel CoenComedy|Crime
Justin Timberlake,Michael Raymond-James,S. Epatha Merkerson,Craig Brewer,Drama|Music,black snake moan,Justin TimberlakeMichael Raymond-JamesS. Epatha MerkersonCraig BrewerDrama|Music
Khandi Alexander,Dash Mihok,Michael Michele,Ron Shelton,Crime|Drama|Romance|Thriller,dark blue,Khandi AlexanderDash MihokMichael MicheleRon SheltonCrime|Drama|Romance|Thriller
Angelina Jolie Pitt,Archie Panjabi,Dan Futterman,Michael Winterbottom,Biography|Drama|History|Thriller|War,a mighty heart,Angelina Jolie PittArchie PanjabiDan FuttermanMichael WinterbottomBiography|Drama|History|Thriller|War
James Franco,Jodi Lyn O'Keefe,Marla Sokoloff,David Raynr,Comedy|Drama|Romance,whatever it takes,James FrancoJodi Lyn O'KeefeMarla SokoloffDavid RaynrComedy|Drama|Romance
Vivica A. Fox,Lin Shaye,Bob Gunton,Mort Nathan,Comedy,boat trip,Vivica A. FoxLin ShayeBob GuntonMort NathanComedy
Colin Firth,Tom Wilkinson,Rupert Everett,Oliver Parker,Comedy|Drama|Romance,the importance of being earnest,Colin FirthTom WilkinsonRupert EverettOliver ParkerComedy|Drama|Romance
Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,Dan Curtis,Fantasy|Romance,the love letter,Jennifer Jason LeighCampbell ScottEstelle ParsonsDan CurtisFantasy|Romance
Logan Lerman,Neil Flynn,Tim Blake Nelson,Wil Shriner,Adventure|Comedy|Family,hoot,Logan LermanNeil FlynnTim Blake NelsonWil ShrinerAdventure|Comedy|Family
Elizabeth Berrington,Anna Madeley,Eric Godon,Martin McDonagh,Comedy|Crime|Drama,in bruges,Elizabeth BerringtonAnna MadeleyEric GodonMartin McDonaghComedy|Crime|Drama
Tyler James Williams,S. Epatha Merkerson,Diahann Carroll,Tina Gordon Chism,Comedy|Romance,peeples,Tyler James WilliamsS. Epatha MerkersonDiahann CarrollTina Gordon ChismComedy|Romance
Emma Stone,Bradley Cooper,Josh Gad,Peter Cattaneo,Comedy|Music,the rocker,Emma StoneBradley CooperJosh GadPeter CattaneoComedy|Music
J.K. Simmons,Zach Gilford,Bobby Coleman,Vicky Jenson,Comedy|Romance,post grad,J.K. SimmonsZach GilfordBobby ColemanVicky JensonComedy|Romance
Matt Damon,Hal Holbrook,Terry Kinney,Gus Van Sant,Drama,promised land,Matt DamonHal HolbrookTerry KinneyGus Van SantDrama
Larry David,Michael McKean,Conleth Hill,Woody Allen,Comedy|Romance,whatever works,Larry DavidMichael McKeanConleth HillWoody AllenComedy|Romance
Matthew Settle,Susan Ward,A.J. Buckley,Mary Lambert,Drama|Mystery|Thriller,the in crowd,Matthew SettleSusan WardA.J. BuckleyMary LambertDrama|Mystery|Thriller
Levon Helm,Dwight Yoakam,Guillermo Arriaga,Tommy Lee Jones,Adventure|Crime|Drama|Mystery|Western,three burials,Levon HelmDwight YoakamGuillermo ArriagaTommy Lee JonesAdventure|Crime|Drama|Mystery|Western
Robin Williams,Mark Margolis,Michael Jeter,Peter Kassovitz,Drama|War,jakob the liar,Robin WilliamsMark MargolisMichael JeterPeter KassovitzDrama|War
Robert Downey Jr.,Corbin Bernsen,Larry Miller,Shane Black,Comedy|Crime|Mystery,kiss kiss bang bang,Robert Downey Jr.Corbin BernsenLarry MillerShane BlackComedy|Crime|Mystery
Vivica A. Fox,Fred Willard,Elden Henson,Rodman Flender,Comedy|Fantasy|Horror|Thriller,idle hands,Vivica A. FoxFred WillardElden HensonRodman FlenderComedy|Fantasy|Horror|Thriller
Naomi Watts,Robert Forster,Laura Harring,David Lynch,Drama|Mystery|Thriller,mulholland drive,Naomi WattsRobert ForsterLaura HarringDavid LynchDrama|Mystery|Thriller
Olivier Martinez,Agnes Bruckner,Chris Geere,Katja von Garnier,Drama|Fantasy|Horror|Romance,blood and chocolate,Olivier MartinezAgnes BrucknerChris GeereKatja von GarnierDrama|Fantasy|Horror|Romance
Anthony Hopkins,Naomi Watts,Ewen Bremner,Woody Allen,Comedy|Drama|Romance,you will meet a tall dark stranger,Anthony HopkinsNaomi WattsEwen BremnerWoody AllenComedy|Drama|Romance
Andrew Garfield,Charlie Rowe,Charlotte Rampling,Mark Romanek,Drama|Romance|Sci-Fi,never let me go,Andrew GarfieldCharlie RoweCharlotte RamplingMark RomanekDrama|Romance|Sci-Fi
Anna Silk,Tom Hollander,Alessandro Nivola,unknown,Drama|History|Thriller,the company            ,Anna SilkTom HollanderAlessandro NivolaunknownDrama|History|Thriller
Thomas Kretschmann,Eduardo Noriega,Mac McDonald,Brad Anderson,Crime|Drama|Mystery|Thriller,transsiberian,Thomas KretschmannEduardo NoriegaMac McDonaldBrad AndersonCrime|Drama|Mystery|Thriller
Curtis Armstrong,Pamela Reed,Mike Muscat,Michael Chapman,Adventure|Drama|Fantasy,the clan of the cave bear,Curtis ArmstrongPamela ReedMike MuscatMichael ChapmanAdventure|Drama|Fantasy
Meat Loaf,Elizabeth Perkins,Noah Emmerich,Antonio Banderas,Comedy|Crime|Drama,crazy in alabama,Meat LoafElizabeth PerkinsNoah EmmerichAntonio BanderasComedy|Crime|Drama
Naomi Watts,Siobhan Fallon Hogan,Brady Corbet,Michael Haneke,Crime|Drama|Horror|Thriller,funny games,Naomi WattsSiobhan Fallon HoganBrady CorbetMichael HanekeCrime|Drama|Horror|Thriller
Thomas Stroppel,Kalim Chandler,Amber Marie Bollinger,Khalil Sullins,Drama|Sci-Fi|Thriller,listening,Thomas StroppelKalim ChandlerAmber Marie BollingerKhalil SullinsDrama|Sci-Fi|Thriller
Bob Hoskins,Elaine Cassidy,Gerard McSorley,Atom Egoyan,Drama|Thriller,felicia's journey,Bob HoskinsElaine CassidyGerard McSorleyAtom EgoyanDrama|Thriller
Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge,Fritz Lang,Drama|Sci-Fi,metropolis,Brigitte HelmGustav FröhlichRudolf Klein-RoggeFritz LangDrama|Sci-Fi
David Belle,Cyril Raffaelli,Dany Verissimo-Petit,Pierre Morel,Action|Crime|Thriller,district b13,David BelleCyril RaffaelliDany Verissimo-PetitPierre MorelAction|Crime|Thriller
Steve Buscemi,Bill Cobbs,Treat Williams,Gary Fleder,Crime|Drama,things to do in denver when you're dead,Steve BuscemiBill CobbsTreat WilliamsGary FlederCrime|Drama
Qi Shu,Chen Chang,Satoshi Tsumabuki,Hsiao-Hsien Hou,Action|Drama,the assassin,Qi ShuChen ChangSatoshi TsumabukiHsiao-Hsien HouAction|Drama
Dean Stockwell,Scott Glenn,Leon,Gregor Jordan,Comedy|Crime|Drama|Thriller|War,buffalo soldiers,Dean StockwellScott GlennLeonGregor JordanComedy|Crime|Drama|Thriller|War
Konstantin Lavronenko,Vladimir Garin,Nataliya Vdovina,Andrey Zvyagintsev,Drama|Mystery|Thriller,the return,Konstantin LavronenkoVladimir GarinNataliya VdovinaAndrey ZvyagintsevDrama|Mystery|Thriller
Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang,Tony Jaa,Action,ong-bak 2,Nirut SirichanyaPetchtai WongkamlaoSarunyu WongkrachangTony JaaAction
Michael Fassbender,JJ Feild,Dave Legeno,Neil Marshall,Action|Adventure|Drama|History|Thriller|War,centurion,Michael FassbenderJJ FeildDave LegenoNeil MarshallAction|Adventure|Drama|History|Thriller|War
Christopher Heyerdahl,Gina Bellman,Conrad Dunn,Russell Mulcahy,Action|Drama|Thriller,silent trigger,Christopher HeyerdahlGina BellmanConrad DunnRussell MulcahyAction|Drama|Thriller
Bradley Cooper,Brooke Shields,Leslie Bibb,Ryûhei Kitamura,Fantasy|Horror|Mystery,the midnight meat train,Bradley CooperBrooke ShieldsLeslie BibbRyûhei KitamuraFantasy|Horror|Mystery
Jennifer Hudson,Wendy Crewson,Aubrey Poo,Darrell Roodt,Biography|Drama|History,winnie mandela,Jennifer HudsonWendy CrewsonAubrey PooDarrell RoodtBiography|Drama|History
Channing Tatum,Al Pacino,Tracy Morgan,Dito Montiel,Crime|Drama|Thriller,the son of no one,Channing TatumAl PacinoTracy MorganDito MontielCrime|Drama|Thriller
Eddie Izzard,Udo Kier,Edward Fox,Stefan Ruzowitzky,Action|Comedy|Drama|War,all the queen's men,Eddie IzzardUdo KierEdward FoxStefan RuzowitzkyAction|Comedy|Drama|War
Stephen Graham,Gael Le Cornec,Keith Allen,Jake Paltrow,Comedy|Drama|Fantasy|Music|Romance,the good night,Stephen GrahamGael Le CornecKeith AllenJake PaltrowComedy|Drama|Fantasy|Music|Romance
Anna Friel,Hans Matheson,Franco Nero,Juraj Jakubisko,Biography|Drama|Fantasy|History,bathory: countess of blood,Anna FrielHans MathesonFranco NeroJuraj JakubiskoBiography|Drama|Fantasy|History
Liam Neeson,Steve Buscemi,Loretta Devine,Anthony Silverston,Adventure|Animation|Family,khumba,Liam NeesonSteve BuscemiLoretta DevineAnthony SilverstonAdventure|Animation|Family
Birgitte Hjort Sørensen,Robert Forster,Melanie Griffith,Gabe Ibáñez,Action|Sci-Fi|Thriller,automata,Birgitte Hjort SørensenRobert ForsterMelanie GriffithGabe IbáñezAction|Sci-Fi|Thriller
Bruce Payne,Lucy Gaskell,Steven Elder,Gerry Lively,Action|Adventure|Fantasy,dungeons & dragons: wrath of the dragon god,Bruce PayneLucy GaskellSteven ElderGerry LivelyAction|Adventure|Fantasy
Maximilian Dirr,Rodrigo De la Serna,Ferdinando Vetere,Daniele Luchetti,Biography,chiamatemi francesco - il papa della gente,Maximilian DirrRodrigo De la SernaFerdinando VetereDaniele LuchettiBiography
Bingbing Fan,Daniel Wu,Yasuaki Kurata,Tung-Shing Yee,Action|Crime|Drama|Thriller,shinjuku incident,Bingbing FanDaniel WuYasuaki KurataTung-Shing YeeAction|Crime|Drama|Thriller
Samantha Morton,Dexter Fletcher,Linus Roache,Julien Temple,Biography|Drama,pandaemonium,Samantha MortonDexter FletcherLinus RoacheJulien TempleBiography|Drama
Bill Murray,Chris Elliott,Willie Garson,Harold Ramis,Comedy|Fantasy|Romance,groundhog day,Bill MurrayChris ElliottWillie GarsonHarold RamisComedy|Fantasy|Romance
Matt Bomer,Channing Tatum,Kevin Nash,Gregory Jacobs,Comedy|Drama|Music,magic mike xxl,Matt BomerChanning TatumKevin NashGregory JacobsComedy|Drama|Music
Leonardo DiCaprio,Harold Perrineau,Brian Dennehy,Baz Luhrmann,Drama|Romance,romeo + juliet,Leonardo DiCaprioHarold PerrineauBrian DennehyBaz LuhrmannDrama|Romance
Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj,Gilles Paquet-Brenner,Drama|War,sarah's key,Kristin Scott ThomasAidan QuinnArben BajraktarajGilles Paquet-BrennerDrama|War
Sharon Leal,David Rasche,Bart Shatto,Peter Cousens,Drama|Family|Music,freedom,Sharon LealDavid RascheBart ShattoPeter CousensDrama|Family|Music
Clint Eastwood,Morgan Freeman,Frances Fisher,Clint Eastwood,Drama|Western,unforgiven,Clint EastwoodMorgan FreemanFrances FisherClint EastwoodDrama|Western
Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,Lars von Trier,Drama,manderlay,Bryce Dallas HowardJeremy DaviesJean-Marc BarrLars von TrierDrama
Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar,Danny Boyle,Drama|Romance,slumdog millionaire,Anil KapoorSaurabh ShuklaAyush Mahesh KhedekarDanny BoyleDrama|Romance
Fred Gwynne,Lois Smith,Anne Archer,Adrian Lyne,Drama|Romance|Thriller,fatal attraction,Fred GwynneLois SmithAnne ArcherAdrian LyneDrama|Romance|Thriller
Julia Roberts,Hector Elizondo,Jason Alexander,Garry Marshall,Comedy|Romance,pretty woman,Julia RobertsHector ElizondoJason AlexanderGarry MarshallComedy|Romance
Martin Short,Andrea Martin,Joe Flaherty,John Blanchard,Comedy,towering inferno            ,Martin ShortAndrea MartinJoe FlahertyJohn BlanchardComedy
Paul Hogan,Linda Kozlowski,John Meillon,John Cornell,Action|Adventure|Comedy,crocodile dundee ii,Paul HoganLinda KozlowskiJohn MeillonJohn CornellAction|Adventure|Comedy
María Valverde,Chris Marquette,Chad Bishop,Vidhu Vinod Chopra,Action|Crime|Drama|Mystery|Thriller,broken horses,María ValverdeChris MarquetteChad BishopVidhu Vinod ChopraAction|Crime|Drama|Mystery|Thriller
Tom Cruise,Tom Berenger,Stephen Baldwin,Oliver Stone,Biography|Drama|War,born on the fourth of july,Tom CruiseTom BerengerStephen BaldwinOliver StoneBiography|Drama|War
Doug E. Doug,Leon,Malik Yoba,Jon Turteltaub,Adventure|Comedy|Family|Sport,cool runnings,Doug E. DougLeonMalik YobaJon TurteltaubAdventure|Comedy|Family|Sport
Jensen Ackles,Jaime King,Edi Gathegi,Patrick Lussier,Horror|Thriller,my bloody valentine,Jensen AcklesJaime KingEdi GathegiPatrick LussierHorror|Thriller
Kyra Sedgwick,Madison Davenport,Natasha Calis,Ole Bornedal,Horror|Thriller,the possession,Kyra SedgwickMadison DavenportNatasha CalisOle BornedalHorror|Thriller
Sylvester Stallone,Brian Dennehy,Chris Mulkey,Ted Kotcheff,Action|Adventure|Drama,first blood,Sylvester StalloneBrian DennehyChris MulkeyTed KotcheffAction|Adventure|Drama
Chris Brown,Laz Alonso,Harry Lennix,Sylvain White,Drama|Music|Romance,stomp the yard,Chris BrownLaz AlonsoHarry LennixSylvain WhiteDrama|Music|Romance
Caroline Munro,Desmond Llewelyn,Barbara Bach,Lewis Gilbert,Action|Adventure|Sci-Fi|Thriller,the spy who loved me,Caroline MunroDesmond LlewelynBarbara BachLewis GilbertAction|Adventure|Sci-Fi|Thriller
Amy Bruni,Steve Gonsalves,Jason Hawes,unknown,Documentary,ghost hunters            ,Amy BruniSteve GonsalvesJason HawesunknownDocumentary
Alicia Witt,Loretta Devine,Julian Richings,Jamie Blanks,Horror|Mystery|Thriller,urban legend,Alicia WittLoretta DevineJulian RichingsJamie BlanksHorror|Mystery|Thriller
Keanu Reeves,Peter Capaldi,Swoosie Kurtz,Stephen Frears,Drama|Romance,dangerous liaisons,Keanu ReevesPeter CapaldiSwoosie KurtzStephen FrearsDrama|Romance
Eddie Cibrian,Phylicia Rashad,Jamie Kennedy,Tyler Perry,Comedy|Drama|Romance,good deeds,Eddie CibrianPhylicia RashadJamie KennedyTyler PerryComedy|Drama|Romance
